strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,initial_model_accuracy,final_model_accuracy
active_learning_pev,1,1,1000,200,0.2,1,200,200,0.45527714583250684,20,-0.13314627914244165,0.9430240904123077,1.682283587383812,1.8154298665262536,1.5639393990870665,0.5181242800726032,1.697085678229508,0.7375477360001241,0.8575782840016473,200,1001,1001,50.0,150.0,0.2586255836415539,0.45527714583250684
active_learning_pev,1,2,1000,200,0.2,1,200,200,0.5578028690426371,20,1.5639393990870665,0.5181242800726032,0.8386641956663133,-0.7252752034207531,2.4277938267268904,0.4845421809384093,0.8638544276398239,0.39000547799878404,0.4818138570008159,400,1001,1002,50.0,150.0,0.43136220708374656,0.5578028690426371
active_learning_pev,1,3,1000,200,0.2,1,200,200,0.6725785531551152,20,2.4277938267268904,0.4845421809384093,1.1156074666465627,-1.3121863600803276,3.511831740265347,0.2686482533326933,1.0840379135384568,0.4317075439976179,0.5196561880002264,600,1001,1003,50.0,150.0,0.5358974871760452,0.6725785531551152
active_learning_pev,1,4,1000,200,0.2,1,200,200,0.5720573019270495,20,3.511831740265347,0.2686482533326933,0.9216236351647578,-2.590208105100589,4.430036624103831,0.10753308773610716,0.918204883838484,0.32675369500066154,0.41646562599999015,800,1001,1004,50.0,150.0,0.41058987720939516,0.5720573019270495
active_learning_pev,1,5,1000,200,0.2,1,200,200,0.1967393362409306,20,4.430036624103831,0.10753308773610716,-0.006854920340414702,-4.436891544444246,4.414715516099109,0.05023061154240726,-0.01532110800472175,0.29466527099793893,0.4155719339978532,1000,1001,1005,50.0,150.0,0.09657088057258378,0.1967393362409306
diversity_sampling,1,1,1000,200,0.2,1,200,200,0.4296846065723029,20,-0.13314627914244168,0.9430240904123077,1.3572082758207442,1.4903545549631858,1.3591234700484291,0.8960207304480154,1.4922697491908707,0.8852120320007089,0.13474635400052648,200,1001,1001,,,,
diversity_sampling,1,2,1000,200,0.2,1,200,200,0.5874958749827268,20,1.3591234700484291,0.8960207304480154,2.656140080526404,1.2970166104779748,2.6281892885009492,0.6501396533776926,1.26906581845252,0.6798560820025159,0.09496239600048284,400,1001,1002,,,,
diversity_sampling,1,3,1000,200,0.2,1,200,200,0.5162724584274131,20,2.6281892885009492,0.6501396533776926,3.910516372187773,1.2823270836868237,3.8988045622246297,0.6448074495391897,1.2706152737236804,0.5842496029981703,0.06474220100062666,600,1001,1003,,,,
diversity_sampling,1,4,1000,200,0.2,1,200,200,0.6375422460818789,20,3.8988045622246297,0.6448074495391897,5.1416599061015935,1.2428553438769638,5.1300457076130614,0.43198086841107947,1.2312411453884318,0.44460269500268623,0.0651042569988931,800,1001,1004,,,,
diversity_sampling,1,5,1000,200,0.2,1,200,200,0.6718875496131576,20,5.1300457076130614,0.43198086841107947,5.802918622369815,0.6728729147567538,5.781554026123723,0.13224466213895425,0.6515083185106612,0.331364969999413,0.0634275330012315,1000,1001,1005,,,,
