strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
active_learning_pev,1,1001,5,1000,-0.13314627914244165,4.414715516099109,4.547861795241551,0.9095723590483102,0.6140456075743159,0.45478617952415507,14.740117604373676,0.49089104123964783,0.1967393362409306,0.1967393362409306,0.6725785531551152,0.1815689136799499,0.9430240904123077,0.05023061154240726,0.05326545954986738,-0.16890385425613444,1000.0,0.4361359447990253,0.5382171778001066,0.346609207136665,0.49089104123964783,2.691085889000533
active_learning_pev,2,1002,5,1000,-0.13314627914244165,5.595964468961565,5.729110748104007,1.1458221496208014,0.4026862693926113,0.5729110748104007,16.15583944172878,0.575113241416058,0.5169681681774467,0.46475923736955954,0.7074520035929376,0.09892424480202533,0.9430240904123077,0.12774281033917745,0.13546081339589736,-0.15086203158259515,1000.0,0.382549803800066,0.49534748659934846,0.4129448154713984,0.575113241416058,2.4767374329967424
active_learning_pev,3,1003,5,1000,-0.13314627914244165,4.0395929016694945,4.172739180811936,0.8345478361623873,0.5784144320580652,0.4172739180811936,13.664388532298279,0.423077947917008,0.395948706977912,0.15810626137582123,0.6811658522739097,0.18771651778892942,0.9430240904123077,0.31847414703471993,0.3377158126421533,-0.12825711676394652,1000.0,0.4274149121993105,0.5217383944000176,0.3044592113403105,0.423077947917008,2.608691972000088
diversity_sampling,1,1001,5,1000,-0.13314627914244168,5.781554026123723,5.914700305266164,1.1829400610532328,0.31446070370458357,0.5914700305266164,16.50609829758992,0.5685765471354959,0.6718875496131576,0.4296846065723029,0.6718875496131576,0.09722918887773117,0.9430240904123077,0.13224466213895425,0.14023465941483468,-0.1557528266090309,1000.0,0.5850570764006988,0.08459654820035212,,,0.4229827410017606
diversity_sampling,2,1002,5,1000,-0.13314627914244168,4.845276220455912,4.978422499598354,0.9956844999196708,0.44388152806256376,0.4978422499598354,14.83292258203384,0.5565445644804391,0.5431688394854759,0.3957917812016222,0.7192220682957282,0.13532939482362114,0.9430240904123077,0.09494589454828484,0.1006823638055447,-0.18685806198400517,1000.0,0.534922652199748,0.08520562920093652,,,0.42602814600468264
diversity_sampling,3,1003,5,1000,-0.13314627914244168,4.066203756400436,4.199350035542878,0.8398700071085756,0.5315399311551376,0.41993500355428776,13.367614267106807,0.4849456379315729,0.5050563743169156,0.24676799659727774,0.629765050838185,0.14493987696805158,0.9430240904123077,0.09777336092252818,0.10368066088298958,-0.17677878843272274,1000.0,0.6059704486004194,0.0829699508001795,,,0.4148497540008975
fixed_sampling,1,1001,5,1000,-0.13314627914244168,4.8298361267470655,4.962982405889507,0.9925964811779014,0.44311418283727294,0.4962982405889507,14.068572224181914,0.5636346461281629,0.6223747824483185,0.3859619411574509,0.7289534401538577,0.14566451784558326,0.9430240904123077,0.09412236929893544,0.09980908256308,-0.199419067719113,1000.0,0.00015685619946452788,0.07954782700035139,,,0.39773913500175695
fixed_sampling,2,1002,5,1000,-0.13314627914244168,5.157286278241924,5.290432557384365,1.0580865114768732,0.35380014275013194,0.5290432557384366,14.96092669299283,0.5376258320658988,0.46203037276669806,0.46203037276669806,0.6736112771470497,0.08693567461572925,0.9430240904123077,0.06949007505883635,0.07368854705339924,-0.16791202475201436,1000.0,0.00015654419912607408,0.07641575820016441,,,0.3820787910008221
fixed_sampling,3,1003,5,1000,-0.13314627914244168,3.546594288322779,3.6797405674652204,0.7359481134930441,0.3062137761370192,0.36797405674652206,10.815925321153077,0.5067032057775509,0.4970582302174687,0.3334126896358544,0.7058473929695552,0.13228688120710722,0.9430240904123077,0.09633389091446333,0.10215422054843197,-0.1904055675062672,1000.0,0.00016015959990909324,0.0763604136001959,,,0.3818020680009795
random_sampling,1,1001,5,1000,-0.13314627914244168,4.678746100869416,4.811892380011858,0.9623784760023716,0.358271186016844,0.4811892380011858,14.155026555160148,0.6207274528060125,0.5453629135948843,0.5165840343390469,0.7867349070817701,0.11686787190676133,0.9430240904123077,0.11823666091497796,0.12538031861230892,-0.18892655117857834,1000.0,0.0001683529990259558,0.09651463019981747,,,0.4825731509990874
random_sampling,2,1002,5,1000,-0.13314627914244168,4.167631965199247,4.300778244341688,0.8601556488683377,0.5171550485973381,0.4300778244341688,13.598023452451015,0.47944162717977656,0.27922421296958005,0.27922421296958005,0.6631250702648065,0.16563741547154232,0.9430240904123077,0.03259887272426302,0.034568441098901496,-0.1819749830445255,1000.0,0.00016153319884324447,0.0745876529996167,,,0.37293826499808347
random_sampling,3,1003,5,1000,-0.13314627914244168,4.130915779367842,4.264062058510284,0.8528124117020568,0.3105239792930438,0.4264062058510284,11.901124713010788,0.5408351382889143,0.693787008868792,0.4337961876074807,0.693787008868792,0.10440432071376905,0.9430240904123077,0.1526811545212023,0.16190588986379684,-0.16196875205324124,1000.0,0.00016917639950406738,0.08590123819958535,,,0.42950619099792675
