metric,strategy,count,mean,standard_deviation,median,q1,q3,minimum,maximum
total_realized_genetic_gain,active_learning_pev,3,5.284624990604041,0.6975692263564391,5.57340363367754,5.031220973151053,5.682418329593778,4.489038312624567,5.791433025510016
total_realized_genetic_gain,diversity_sampling,3,4.737932135201125,0.7493140121872568,5.018894088477877,4.4538187134006595,5.162526533639966,3.888743338323443,5.3061589788020544
total_realized_genetic_gain,fixed_sampling,3,3.6107315443321295,0.525484695220454,3.599590420277273,3.345248208782876,3.870644317853955,3.090905997288479,4.141698215430637
total_realized_genetic_gain,q_learning,3,3.845417134497086,1.1822420252629287,3.640892951464368,3.2098368607870915,4.3787353166907215,2.778780770109815,5.116577681917075
total_realized_genetic_gain,random_sampling,3,4.907326337569882,0.40830438093318555,4.981876840870114,4.724380150594598,5.127547776195282,4.466883460319082,5.27321871152045
final_mean_genetic_value,active_learning_pev,3,5.151478711461599,0.6975692263564393,5.440257354535098,4.898074694008612,5.549272050451336,4.355892033482125,5.658286746367574
final_mean_genetic_value,diversity_sampling,3,4.604785856058683,0.7493140121872564,4.885747809335435,4.320672434258219,5.029380254497524,3.7555970591810013,5.173012699659613
final_mean_genetic_value,fixed_sampling,3,3.4775852651896884,0.525484695220454,3.4664441411348315,3.2121019296404345,3.7374980387115135,2.9577597181460376,4.008551936288195
final_mean_genetic_value,q_learning,3,3.7122708553546446,1.1822420252629287,3.5077466723219266,3.07669058164465,4.24558903754828,2.6456344909673732,4.983431402774634
final_mean_genetic_value,random_sampling,3,4.77418005842744,0.40830438093318516,4.848730561727672,4.591233871452156,4.99440149705284,4.33373718117664,5.140072432378008
mean_prediction_accuracy,active_learning_pev,3,0.5377561367083671,0.030056381199031198,0.52562476445841,0.5206430911767972,0.5488034961149583,0.5156614178951845,0.5719822277715065
mean_prediction_accuracy,diversity_sampling,3,0.5216926294887344,0.03542197380428989,0.5121719424231286,0.5020879576095509,0.5365369578351149,0.49200397279597335,0.5609019732471012
mean_prediction_accuracy,fixed_sampling,3,0.47172829014799667,0.05967498597368491,0.5056742836526057,0.4542491569378661,0.5061804201104317,0.4028240302231265,0.5066865565682578
mean_prediction_accuracy,q_learning,3,0.4041546272848892,0.09570234748039591,0.35088086489263215,0.3489125388443231,0.4327598345293268,0.34694421279601406,0.5146388041660215
mean_prediction_accuracy,random_sampling,3,0.5362981258257897,0.027583894500689366,0.5476749594800276,0.5262602053602778,0.5520244631184205,0.5048454512405282,0.5563739667568133
final_genetic_variance,active_learning_pev,3,0.22929060587722164,0.13818748959243476,0.27526937872794094,0.17462215486440436,0.3069484433153986,0.07397493100086777,0.3386275079028563
final_genetic_variance,diversity_sampling,3,0.21878426062010434,0.13375888574934336,0.2763507919179189,0.17111541815500836,0.2952363687341076,0.06588004439209787,0.31412194555029627
final_genetic_variance,fixed_sampling,3,0.15030193627869445,0.14745316280099627,0.13907018913011357,0.07392800681828705,0.22105999216481143,0.008785824506460519,0.30304979519950925
final_genetic_variance,q_learning,3,0.17080501880994295,0.12905715630219136,0.24279247533566634,0.1323016524771844,0.24530211340556324,0.021810829618702444,0.2478117514754601
final_genetic_variance,random_sampling,3,0.10246060903537935,0.023738472608730996,0.08981959298402639,0.08876863369258335,0.10983207635249888,0.08771767440114031,0.12984455972097136
variance_retention,active_learning_pev,3,0.24314395380607037,0.1465365423825139,0.2919006858113116,0.18517252808256074,0.32549374553220056,0.0784443703538099,0.35908680525308956
variance_retention,diversity_sampling,3,0.2320028330606568,0.14184036983706474,0.29304743614459855,0.18145392031309987,0.31307404735018457,0.06986040448160119,0.3331006585557706
variance_retention,fixed_sampling,3,0.15938292330684747,0.15636203178704264,0.147472573123036,0.07839461109202878,0.23441606042976043,0.00931664906102154,0.3213595477364849
variance_retention,q_learning,3,0.18112476716821072,0.13685456990368633,0.2574615832237254,0.14029509301224707,0.26012284935193175,0.023128602800768686,0.26278411548013814
variance_retention,random_sampling,3,0.10865110454451028,0.025172710697509426,0.09524633983078373,0.09413188336871867,0.11646794336343862,0.09301742690665359,0.1376895468960935
total_cycle_seconds,active_learning_pev,3,2.5644959063308,0.1422611869218952,2.5455666030102293,2.4891068285032816,2.6304203324980335,2.432647053996334,2.7152740619858378
total_cycle_seconds,diversity_sampling,3,0.43383957033074694,0.007608538556008623,0.4366053379853838,0.4309201689939073,0.43814185549490503,0.42523500000243075,0.43967837300442625
total_cycle_seconds,fixed_sampling,3,0.3905800506666613,0.003520279717740204,0.38942410600429866,0.38860359500176855,0.39197853400037275,0.38778308399923844,0.39453296199644683
total_cycle_seconds,q_learning,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cycle_seconds,random_sampling,3,0.44704407300256815,0.08107170110597577,0.4048948300041957,0.400312143501651,0.47270138100429904,0.39572945699910633,0.5405079320044024
