strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
active_learning_pev,1,20001,5,1000,-0.13314627914244165,5.658286746367574,5.791433025510016,1.158286605102003,0.4666117045479035,0.5791433025510017,16.899318272974433,0.5156614178951845,0.3669232282016128,0.3669232282016128,0.5840222181826581,0.08708438603231822,0.9430240904123077,0.27526937872794094,0.2919006858113116,-0.1435378411875077,1000.0,0.4383819864000543,0.5430548123971676,0.280156921413863,0.5156614178951845,2.7152740619858378
active_learning_pev,2,20002,5,1000,-0.13314627914244165,4.355892033482125,4.489038312624567,0.8978076625249134,0.4269313526043148,0.4489038312624567,13.662508149659367,0.52562476445841,0.4538153648690616,0.43208795783072124,0.6466225910333303,0.09750295829268277,0.9430240904123077,0.07397493100086777,0.0784443703538099,-0.16174026867488192,1000.0,0.390229198000452,0.48652941079926676,0.4003716304396704,0.52562476445841,2.432647053996334
active_learning_pev,3,20003,5,1000,-0.13314627914244165,5.440257354535098,5.57340363367754,1.1146807267355079,0.5148044907522938,0.5573403633677539,16.890082099747836,0.5719822277715065,0.4554526425196951,0.4554526425196951,0.6749418138700087,0.10476025910339032,0.9430240904123077,0.3386275079028563,0.35908680525308956,-0.10958094736977574,1000.0,0.38325652300118235,0.5091133206020458,0.4016498594571664,0.5719822277715065,2.5455666030102293
diversity_sampling,1,20001,5,1000,-0.13314627914244168,3.7555970591810013,3.888743338323443,0.7777486676646885,0.44882498738257126,0.38887433383234427,12.428679263735752,0.5121719424231286,0.35918878147386996,0.35918878147386996,0.5969893018557317,0.08992218391733793,0.9430240904123077,0.06588004439209787,0.06986040448160119,-0.19051863773880395,1000.0,0.5327296240022406,0.08793567460088525,,,0.43967837300442625
diversity_sampling,2,20002,5,1000,-0.13314627914244168,5.173012699659613,5.3061589788020544,1.0612317957604112,0.5135138294823152,0.5306158978802055,15.517476780096308,0.49200397279597335,0.5835724985471694,0.14819624634800552,0.6369060715048479,0.1989742218543926,0.9430240904123077,0.2763507919179189,0.29304743614459855,-0.13974411879072546,1000.0,0.6113321404031012,0.08732106759707677,,,0.4366053379853838
diversity_sampling,3,20003,5,1000,-0.13314627914244168,4.885747809335435,5.018894088477877,1.0037788176955755,0.4820732855102178,0.5018894088477878,12.65424279477195,0.5609019732471012,0.5170389771335583,0.41770790494617405,0.6685307361817419,0.09831369376051308,0.9430240904123077,0.31412194555029627,0.3331006585557706,-0.14208831669802985,1000.0,0.5909953071997733,0.08504700000048615,,,0.42523500000243075
fixed_sampling,1,20001,5,1000,-0.13314627914244168,4.008551936288195,4.141698215430637,0.8283396430861274,0.4589525998157184,0.4141698215430637,12.156575107078197,0.5066865565682578,0.5102774707647075,0.2816549390668457,0.6654322447845806,0.15020068436030715,0.9430240904123077,0.13907018913011357,0.147472573123036,-0.1657857799862322,1000.0,0.00017693920090096072,0.07788482120085974,,,0.38942410600429866
fixed_sampling,2,20002,5,1000,-0.13314627914244168,3.4664441411348315,3.599590420277273,0.7199180840554547,0.23326544210807526,0.3599590420277273,10.231104855934516,0.5056742836526057,0.44712891265115834,0.44712891265115834,0.5616059726928335,0.04613413966086856,0.9430240904123077,0.30304979519950925,0.3213595477364849,-0.1430600098255788,1000.0,0.00015007320034783335,0.07755661679984768,,,0.38778308399923844
fixed_sampling,3,20003,5,1000,-0.13314627914244168,2.9577597181460376,3.090905997288479,0.6181811994576958,0.5773342427348932,0.30909059972884795,11.174815166623887,0.4028240302231265,0.39553419304758336,0.19848709366801356,0.6218039081783422,0.15626339691510502,0.9430240904123077,0.008785824506460519,0.00931664906102154,-0.19862950813699434,1000.0,0.00016582860116614028,0.07890659239928936,,,0.39453296199644683
q_learning,1,20001,5,300,-0.13314627914244165,3.5077466723219266,3.640892951464368,0.7281785902928737,0.49197279715401343,1.213630983821456,11.88469899884018,0.34694421279601406,0.355549918706432,0.24212398317977607,0.6273864561207537,0.16354702969749374,0.9430240904123077,0.24279247533566634,0.2574615832237254,-0.15317916218610436,300.0,,,,,0.0
q_learning,2,20002,5,325,-0.13314627914244165,2.6456344909673732,2.778780770109815,0.555756154021963,0.5359707424578058,0.8550094677260969,10.18947229216324,0.35088086489263215,0.1986297266075307,0.07474623021614096,0.6952258322131074,0.2504471574370915,0.9430240904123077,0.021810829618702444,0.023128602800768686,-0.20863641232468894,325.0,,,,,0.0
q_learning,3,20003,5,475,-0.13314627914244165,4.983431402774634,5.116577681917075,1.023315536383415,0.42247938950375,1.0771742488246474,12.076647998994662,0.5146388041660215,0.5109648004549356,0.3060666074906513,0.6755721263070427,0.1329981713052373,0.9430240904123077,0.2478117514754601,0.26278411548013814,-0.14593401452952304,475.0,,,,,0.0
random_sampling,1,20001,5,1000,-0.13314627914244168,5.140072432378008,5.27321871152045,1.05464374230409,0.4618778609175677,0.527321871152045,15.867324313825156,0.5563739667568133,0.5454426928762985,0.5203052080045834,0.5809738485046316,0.024916308441365668,0.9430240904123077,0.08771767440114031,0.09301742690665359,-0.1852104150966734,1000.0,0.0001645321972318925,0.10810158640088048,,,0.5405079320044024
random_sampling,2,20002,5,1000,-0.13314627914244168,4.848730561727672,4.981876840870114,0.9963753681740227,0.37940431268341407,0.49818768408701136,14.63465154957191,0.5048454512405282,0.3198257491743745,0.3198257491743745,0.6474631222994808,0.1254099686816693,0.9430240904123077,0.12984455972097136,0.1376895468960935,-0.162013727270839,1000.0,0.00016526940162293614,0.07914589139982127,,,0.39572945699910633
random_sampling,3,20003,5,1000,-0.13314627914244168,4.33373718117664,4.466883460319082,0.8933766920638163,0.2745871928327304,0.4466883460319082,11.809268664676486,0.5476749594800276,0.6579852686373409,0.3102099635606269,0.6579852686373409,0.13941409404420946,0.9430240904123077,0.08981959298402639,0.09524633983078373,-0.16976669175416262,1000.0,0.00015516660059802234,0.08097896600083913,,,0.4048948300041957
