strategy,replicate,run_seed,step,generation_before,number_phenotyped_before,action,action_name,reward,event
linear_q_learning,1,20001,1,1,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,2,1,25,0,Random batch,0.015593635407599572,phenotype_batch
linear_q_learning,1,20001,3,1,50,4,Stop and finalize generation,1.163151850267227,generation_finalized
linear_q_learning,1,20001,4,2,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,5,2,25,0,Random batch,0.04035816992354473,phenotype_batch
linear_q_learning,1,20001,6,2,50,4,Stop and finalize generation,1.1940731778992402,generation_finalized
linear_q_learning,1,20001,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,8,3,25,0,Random batch,0.05543801498652533,phenotype_batch
linear_q_learning,1,20001,9,3,50,4,Stop and finalize generation,0.5698280523942865,generation_finalized
linear_q_learning,1,20001,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,11,4,25,0,Random batch,0.08456098067319763,phenotype_batch
linear_q_learning,1,20001,12,4,50,4,Stop and finalize generation,0.8436307033572369,generation_finalized
linear_q_learning,1,20001,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,14,5,25,0,Random batch,1.0652879504138992e-09,phenotype_batch
linear_q_learning,1,20001,15,5,50,4,Stop and finalize generation,0.25978676048420224,generation_finalized
linear_q_learning,1,20001,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,17,6,25,0,Random batch,0.038037429914804785,phenotype_batch
linear_q_learning,1,20001,18,6,50,4,Stop and finalize generation,0.5907321257438282,generation_finalized
linear_q_learning,1,20001,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,20,7,25,0,Random batch,0.06784890803988644,phenotype_batch
linear_q_learning,1,20001,21,7,50,4,Stop and finalize generation,0.2602776955886411,generation_finalized
linear_q_learning,1,20001,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,23,8,25,0,Random batch,0.07880695767552373,phenotype_batch
linear_q_learning,1,20001,24,8,50,4,Stop and finalize generation,-0.08963226784282786,generation_finalized
linear_q_learning,1,20001,25,9,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,26,9,25,0,Random batch,0.0445775750730321,phenotype_batch
linear_q_learning,1,20001,27,9,50,4,Stop and finalize generation,-0.08618381143471612,generation_finalized
linear_q_learning,1,20001,28,10,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,29,10,25,1,Diversity batch,3.81056396275544e-09,phenotype_batch
linear_q_learning,1,20001,30,10,50,4,Stop and finalize generation,0.039783437601035684,generation_finalized
linear_q_learning,1,20001,31,11,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,32,11,25,1,Diversity batch,2.1940868705076706e-08,phenotype_batch
linear_q_learning,1,20001,33,11,50,3,Highest-GEBV batch,5.560186064663435e-09,phenotype_batch
linear_q_learning,1,20001,34,11,75,0,Random batch,1.0920900737554963e-08,phenotype_batch
linear_q_learning,1,20001,35,11,100,0,Random batch,0.010365771958143324,phenotype_batch
linear_q_learning,1,20001,36,11,125,4,Stop and finalize generation,0.05432908341989611,generation_finalized
linear_q_learning,1,20001,37,12,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,38,12,25,1,Diversity batch,0.1554110847767264,phenotype_batch
linear_q_learning,1,20001,39,12,50,3,Highest-GEBV batch,-0.11326826583266593,phenotype_batch
linear_q_learning,1,20001,40,12,75,3,Highest-GEBV batch,0.003763227394799437,phenotype_batch
linear_q_learning,1,20001,41,12,100,3,Highest-GEBV batch,-0.029198650277236546,phenotype_batch
linear_q_learning,1,20001,42,12,125,1,Diversity batch,-0.016707378635928753,phenotype_batch
linear_q_learning,1,20001,43,12,150,0,Random batch,0.0020310218309529124,phenotype_batch
linear_q_learning,1,20001,44,12,175,4,Stop and finalize generation,0.03699771324969577,generation_finalized
linear_q_learning,1,20001,45,13,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,46,13,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,47,13,50,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,48,13,75,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,49,13,100,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,50,13,125,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,20001,51,13,150,4,Stop and finalize generation,1.6747197951889832e-30,generation_finalized
linear_q_learning,1,20001,52,14,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,53,14,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,54,14,50,4,Stop and finalize generation,1.6747197951889832e-30,generation_finalized
linear_q_learning,1,20001,55,15,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,56,15,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,20001,57,15,50,3,Highest-GEBV batch,0.0,phenotype_batch
linear_q_learning,1,20001,58,15,75,4,Stop and finalize generation,1.6747197951889832e-30,generation_finalized
linear_q_learning,1,20001,59,16,0,1,Diversity batch,0.0,phenotype_batch
