strategy,replicate,run_seed,step,generation_before,number_phenotyped_before,action,action_name,reward,event
linear_q_learning,1,30001,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,3,1,50,2,Highest-PEV batch,1.1156140942796904,generation_finalized
linear_q_learning,1,30001,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,6,2,50,2,Highest-PEV batch,2.069323383599155,generation_finalized
linear_q_learning,1,30001,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,9,3,50,2,Highest-PEV batch,2.035267460839671,generation_finalized
linear_q_learning,1,30001,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,12,4,50,2,Highest-PEV batch,2.027997766367925,generation_finalized
linear_q_learning,1,30001,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,15,5,50,2,Highest-PEV batch,2.025675372310526,generation_finalized
linear_q_learning,1,30001,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,18,6,50,2,Highest-PEV batch,1.9211261759954952,generation_finalized
linear_q_learning,1,30001,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,21,7,50,2,Highest-PEV batch,1.6015933206960695,generation_finalized
linear_q_learning,1,30001,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,24,8,50,2,Highest-PEV batch,-1.3531793987956497,generation_finalized
linear_q_learning,2,30002,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,3,1,50,2,Highest-PEV batch,2.098324875326069,generation_finalized
linear_q_learning,2,30002,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,6,2,50,2,Highest-PEV batch,2.0359148304225365,generation_finalized
linear_q_learning,2,30002,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,9,3,50,2,Highest-PEV batch,1.911191685461696,generation_finalized
linear_q_learning,2,30002,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,12,4,50,2,Highest-PEV batch,0.8372159883855759,generation_finalized
linear_q_learning,2,30002,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,15,5,50,2,Highest-PEV batch,0.09841752124436427,generation_finalized
linear_q_learning,2,30002,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,18,6,50,2,Highest-PEV batch,0.9002363478162578,generation_finalized
linear_q_learning,2,30002,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,2,30002,21,7,50,2,Highest-PEV batch,0.24641537721040904,generation_finalized
linear_q_learning,2,30002,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,24,8,50,2,Highest-PEV batch,0.4466043739492353,generation_finalized
linear_q_learning,3,30003,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,3,1,50,2,Highest-PEV batch,2.0993617730004157,generation_finalized
linear_q_learning,3,30003,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,6,2,50,2,Highest-PEV batch,2.060714263139994,generation_finalized
linear_q_learning,3,30003,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,3,30003,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,9,3,50,2,Highest-PEV batch,2.047681481204377,generation_finalized
linear_q_learning,3,30003,10,4,0,0,Random batch,0.0,phenotype_batch
