scenario,best_fixed_strategy,best_fixed_mean_total_gain,oracle_mean_total_gain,oracle_gain_advantage
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_standard,diversity_sampling,3.4869979306777634,3.6314444750564068,0.14444654437864335
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_strong,highest_gebv,2.704930638854062,4.176438677964045,1.4715080391099828
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_weak,active_learning_pev,2.559483194526083,4.466763580859024,1.9072803863329413
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_standard,highest_gebv,2.79354376412797,2.902126509325235,0.10858274519726496
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_strong,active_learning_pev,3.118760556091606,3.391680191454481,0.2729196353628751
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_weak,highest_gebv,3.0623409301124713,2.9431665932388396,-0.11917433687363177
h2_0.05_budget_100_pop_1000_parents_10_gen_8_loss_standard,diversity_sampling,2.57615919170663,4.130365637325503,1.5542064456188727
h2_0.05_budget_100_pop_1000_parents_10_gen_8_loss_strong,highest_gebv,2.1264151123943527,3.9290181534117514,1.8026030410173988
h2_0.05_budget_100_pop_1000_parents_10_gen_8_loss_weak,active_learning_pev,2.9297824872829232,3.4709281183569707,0.5411456310740475
h2_0.05_budget_100_pop_1000_parents_20_gen_12_loss_standard,diversity_sampling,3.2418628107328256,3.8217337817743164,0.5798709710414909
h2_0.05_budget_100_pop_1000_parents_20_gen_12_loss_strong,active_learning_pev,2.898185783106347,3.5570344960880877,0.6588487129817406
h2_0.05_budget_100_pop_1000_parents_20_gen_12_loss_weak,random_sampling,2.727973547194239,3.8546612563885714,1.1266877091943326
h2_0.05_budget_100_pop_1000_parents_20_gen_5_loss_standard,highest_gebv,2.245550518774745,3.412958069073213,1.167407550298468
h2_0.05_budget_100_pop_1000_parents_20_gen_5_loss_strong,active_learning_pev,1.9684511355602374,2.7922514892466883,0.8238003536864509
h2_0.05_budget_100_pop_1000_parents_20_gen_5_loss_weak,fixed_sampling,2.4834888390097665,3.3405183882450604,0.857029549235294
h2_0.05_budget_100_pop_1000_parents_20_gen_8_loss_standard,highest_gebv,2.7743793688721055,4.309820815451967,1.5354414465798611
h2_0.05_budget_100_pop_1000_parents_20_gen_8_loss_strong,highest_gebv,2.968235951442851,4.144531074022047,1.1762951225791958
h2_0.05_budget_100_pop_1000_parents_20_gen_8_loss_weak,diversity_sampling,2.9274277640879682,4.356486974549169,1.4290592104612005
h2_0.05_budget_100_pop_1000_parents_40_gen_12_loss_standard,highest_gebv,3.1847269201948856,4.485825769121463,1.3010988489265771
h2_0.05_budget_100_pop_1000_parents_40_gen_12_loss_strong,diversity_sampling,3.025946053360066,3.9708333192636798,0.9448872659036138
h2_0.05_budget_100_pop_1000_parents_40_gen_12_loss_weak,diversity_sampling,3.432990111674028,5.086406490303358,1.65341637862933
h2_0.05_budget_100_pop_1000_parents_40_gen_5_loss_standard,fixed_sampling,2.0101903802928605,3.806318247984246,1.7961278676913857
h2_0.05_budget_100_pop_1000_parents_40_gen_5_loss_strong,highest_gebv,2.785502808275702,3.296418038082742,0.5109152298070399
h2_0.05_budget_100_pop_1000_parents_40_gen_5_loss_weak,highest_gebv,2.193285103853672,2.978225489315617,0.7849403854619452
h2_0.05_budget_100_pop_1000_parents_40_gen_8_loss_standard,fixed_sampling,2.969786249324398,3.982823380224985,1.013037130900587
h2_0.05_budget_100_pop_1000_parents_40_gen_8_loss_strong,highest_gebv,3.0909627458885853,4.213781585721478,1.122818839832893
h2_0.05_budget_100_pop_1000_parents_40_gen_8_loss_weak,highest_gebv,2.7293594673311397,3.9381450690429536,1.208785601711814
h2_0.05_budget_100_pop_500_parents_10_gen_12_loss_standard,diversity_sampling,2.240295084284218,3.305757392978007,1.0654623086937889
h2_0.05_budget_100_pop_500_parents_10_gen_12_loss_strong,highest_gebv,2.505282756289153,3.9842003082763866,1.4789175519872337
h2_0.05_budget_100_pop_500_parents_10_gen_12_loss_weak,active_learning_pev,3.531630199699233,3.068039691102848,-0.46359050859638495
h2_0.05_budget_100_pop_500_parents_10_gen_5_loss_standard,active_learning_pev,2.853153747985344,3.1770231566221585,0.32386940863681435
h2_0.05_budget_100_pop_500_parents_10_gen_5_loss_strong,highest_gebv,1.8416311492651587,2.8188691313618324,0.9772379820966737
h2_0.05_budget_100_pop_500_parents_10_gen_5_loss_weak,highest_gebv,2.7482192314462277,2.85743230016419,0.10921306871796244
h2_0.05_budget_100_pop_500_parents_10_gen_8_loss_standard,diversity_sampling,2.5167300695866737,3.6917915554776912,1.1750614858910176
h2_0.05_budget_100_pop_500_parents_10_gen_8_loss_strong,highest_gebv,2.664686500858028,4.299564777797374,1.6348782769393462
h2_0.05_budget_100_pop_500_parents_10_gen_8_loss_weak,highest_gebv,2.388537456359779,3.4457371277582367,1.0571996713984575
h2_0.05_budget_100_pop_500_parents_20_gen_12_loss_standard,active_learning_pev,3.4811967707603793,4.263392870423956,0.7821960996635764
h2_0.05_budget_100_pop_500_parents_20_gen_12_loss_strong,fixed_sampling,2.1524758474848826,3.2108880360666787,1.058412188581796
h2_0.05_budget_100_pop_500_parents_20_gen_12_loss_weak,active_learning_pev,3.5929864306053836,3.3748403276082404,-0.2181461029971432
h2_0.05_budget_100_pop_500_parents_20_gen_5_loss_standard,active_learning_pev,2.351553004779451,2.9554253110424704,0.6038723062630194
