scenario,strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_standard,oracle_switching,1,118001,12,1200,-0.13314627914244168,3.506809903124564,3.6399561822670057,0.3033296818555838,0.3756884839125744,0.3033296818555838,34.2856239682259,0.24075020356774748,0.0,0.0,0.4977047526986978,0.2015268618578881,0.9430240904123077,0.0,0.0,-0.0648582858133811,1200.0,0.1978427645008196,0.28132683700096095,0.20695230010357085,0.2951712755424618,1.1253073480038438
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_standard,oracle_switching,2,118002,12,1200,-0.13314627914244168,4.423027898127271,4.556174177269712,0.3796811814391427,0.5113503077877326,0.3796811814391427,44.5362212287069,0.29303916461396334,0.0,0.0,0.6689826839559349,0.22798797057512105,0.9430240904123077,0.0,0.0,-0.07899109061003767,1200.0,0.28871645699837245,0.3766421540058218,0.4546840712722247,0.5451578316177124,0.3766421540058218
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_standard,oracle_switching,3,118003,12,1200,-0.13314627914244165,2.565056786490061,2.6982030656325025,0.2248502554693752,0.5577975822717492,0.2248502554693752,29.90357156452564,0.17893749761808123,0.0,0.0,0.6820253066255204,0.2386725989665333,0.9430240904123077,0.0,0.0,-0.04573049888490652,1200.0,0.2688934020115994,0.34587062599894125,0.3621362243633439,0.4943524055883127,0.6917412519978825
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_strong,oracle_switching,1,119001,12,1200,-0.13314627914244168,4.742551178551292,4.875697457693733,0.4063081214744781,0.4816418938889888,0.4063081214744778,45.14591759837112,0.2691209950542443,0.0,0.0,0.5341041333157742,0.1849224441338501,0.9430240904123077,0.0,0.0,-0.080193210526403,1200.0,0.23854143280768766,0.32398359380313196,0.2795858076064082,0.3876070720767581,1.6199179690156598
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_strong,oracle_switching,2,119002,12,1200,-0.13314627914244165,4.341702146313931,4.474848425456373,0.3729040354546978,0.535982881876442,0.37290403545469775,43.546974717533885,0.2143577226446051,0.0,0.0,0.7136275587798827,0.22938596046187515,0.9430240904123077,0.0,0.0,-0.05717106517989298,1200.0,0.21759224833901195,0.3074237095036854,0.14862906585934277,0.36014575478292316,1.8445422570221126
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_strong,oracle_switching,3,119003,12,1200,-0.13314627914244168,3.0456238715995867,3.1787701507420283,0.2648975125618357,0.4337514852226981,0.2648975125618357,31.887650892565752,0.18463718091293893,0.0,0.0,0.5889385437053714,0.21364599445292798,0.9430240904123077,0.0,0.0,-0.06162704896092668,1200.0,,,,,0.0
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_weak,oracle_switching,1,117001,12,1200,-0.13314627914244165,3.9471750868311553,4.080321365973597,0.34002678049779983,0.5803655644979102,0.3400267804977997,40.69313109010676,0.19772466611954767,0.0,0.0,0.5238265250219465,0.20532087601331303,0.9430240904123077,0.0,0.0,-0.06312328380194547,1200.0,0.36267692067000706,0.44313914732386667,0.08885406054726001,0.35370611331368024,1.3294174419716
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_weak,oracle_switching,2,117002,12,1200,-0.13314627914244168,4.35034555252361,4.4834918316660515,0.3736243193055044,0.5694289332776902,0.3736243193055043,44.66073723868266,0.22524861621236605,0.0,0.0,0.6313873350611622,0.21286072835567815,0.9430240904123077,0.0,0.0,-0.06348957896919867,1200.0,0.14678528033740199,0.24358613851169744,0.11912579116810802,0.2168786548559595,1.4615168310701847
h2_0.05_budget_100_pop_1000_parents_10_gen_12_loss_weak,oracle_switching,3,117003,12,1200,-0.13314627914244168,4.703331265794985,4.836477544937426,0.40303979541145224,0.5703960707558006,0.4030397954114522,46.018788750910595,0.270020942392858,0.0,0.0,0.567205215891367,0.20832393321604964,0.9430240904123077,0.0,0.0,-0.07363054316323979,1200.0,0.2072587523337764,0.3005074590037111,-0.11662641114748712,0.4456687139341386,0.9015223770111334
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_standard,oracle_switching,1,112001,5,500,-0.13314627914244165,2.534956238162926,2.6681025173053676,0.5336205034610735,0.302695873269541,0.5336205034610736,7.288676491575524,0.18696766762250042,0.4284708054610374,0.025154382824097023,0.4284708054610374,0.14830879587792045,0.9430240904123077,0.03659055459655619,0.038801293592147915,-0.16109572950488701,500.0,0.25444996132864617,0.3326135400081209,0.10930859611072778,0.16040438327578918,0.9978406200243626
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_standard,oracle_switching,2,112002,5,500,-0.13314627914244165,3.0749535425446046,3.208099821687046,0.6416199643374092,0.42109533087968853,0.6416199643374093,10.180483056875234,0.3430030463398693,0.4490098202948695,0.21878979538701512,0.4490098202948695,0.10068479709515427,0.9430240904123077,0.006656111029307442,0.007058261922447035,-0.21014949309282943,500.0,0.30033992225071415,0.3941276314944844,0.26716521573666246,0.3165013528511192,1.5765105259779375
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_standard,oracle_switching,3,112003,5,500,-0.13314627914244165,2.6970309098408483,2.83017718898329,0.566035437796658,0.8079830329015129,0.5660354377966579,11.264625144191704,0.38460859380060997,0.4733105207414057,0.22173352263788682,0.5385642678310255,0.13285568555260613,0.9430240904123077,0.0,0.0,-0.15379883127121857,500.0,0.4394394394912524,0.5398496069974499,0.19239427067492856,0.3475220216896463,1.0796992139948998
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_strong,oracle_switching,1,113001,5,500,-0.13314627914244168,3.0735676733609396,3.206713952503381,0.6413427905006762,0.25630706708560286,0.6413427905006762,8.012119389065893,0.2181761248153183,0.28269177927104916,0.048119023195964644,0.32306081641703627,0.10860996725012577,0.9430240904123077,0.12524196516872876,0.13280887141914968,-0.15009531154039008,500.0,0.24909787532912256,0.33160875566924614,-0.016211787712857934,0.19623225392811514,0.9948262670077384
h2_0.05_budget_100_pop_1000_parents_10_gen_5_loss_strong,oracle_switching,2,113002,5,500,-0.13314627914244165,3.487685449886961,3.6208317290294025,0.7241663458058805,0.5652660418142738,0.7241663458058805,11.58156404137956,0.3689816592590558,0.4896035244974326,0.12761771389609738,0.5189161983059956,0.1867084773691979,0.9430240904123077,0.014427055232273136,0.0152987133403616,-0.21609493829880855,500.0,0.2483682699870163,0.3229265756672248,0.17087347535948946,0.28435175656165507,0.9687797270016745
