scenario,switching_policy,best_fixed_strategy,best_fixed_mean_total_gain,switching_mean_total_gain,raw_switching_advantage,ceiling_mean_total_gain,ceiling_advantage,ceiling_source
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,diversity_sampling,2.917282577360071,3.822186519453002,0.9049039420929308,3.822186519453002,0.9049039420929308,switching_policy
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,2.758618437342323,3.8632594671510576,1.1046410298087346,3.8632594671510576,1.1046410298087346,switching_policy
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,3.1820418350737554,3.891531802259604,0.7094899671858488,3.891531802259604,0.7094899671858488,switching_policy
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,3.125159138805722,4.007178917557075,0.8820197787513533,4.007178917557075,0.8820197787513533,switching_policy
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,2.851149003819186,3.936691411869723,1.0855424080505371,3.936691411869723,1.0855424080505371,switching_policy
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,2.8931483655734835,3.7804405683563616,0.887292202782878,3.7804405683563616,0.887292202782878,switching_policy
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,diversity_sampling,2.935386328783766,3.9708670517696603,1.0354807229858944,3.9708670517696603,1.0354807229858944,switching_policy
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,2.7024256590829028,3.8036010641810423,1.1011754050981395,3.8036010641810423,1.1011754050981395,switching_policy
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.1464368013031008,3.4069376587752793,1.2605008574721785,3.4069376587752793,1.2605008574721785,switching_policy
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,2.2776808974557468,3.5118925602469133,1.2342116627911666,3.5118925602469133,1.2342116627911666,switching_policy
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.5374802856700556,3.807352442332251,1.2698721566621956,3.807352442332251,1.2698721566621956,switching_policy
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,2.315650780626993,3.724253792076488,1.408603011449495,3.724253792076488,1.408603011449495,switching_policy
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.362972577236287,3.517425292690061,1.154452715453774,3.517425292690061,1.154452715453774,switching_policy
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,1.9749466820141592,3.465752474955938,1.4908057929417786,3.465752474955938,1.4908057929417786,switching_policy
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.1765118186652375,3.487451999865256,1.3109401812000185,3.487451999865256,1.3109401812000185,switching_policy
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,2.095834679398636,3.146881892340894,1.0510472129422581,3.146881892340894,1.0510472129422581,switching_policy
h2_0.10_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,3.5830250812525923,4.164200157250378,0.5811750759977858,4.164200157250378,0.5811750759977858,switching_policy
h2_0.10_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,3.3655598535573943,4.297112375076191,0.9315525215187965,4.297112375076191,0.9315525215187965,switching_policy
h2_0.10_budget_200_pop_1000_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,3.836627635353903,4.549763840463817,0.7131362051099144,4.549763840463817,0.7131362051099144,switching_policy
h2_0.10_budget_200_pop_1000_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,3.761377064824103,4.5074499719644665,0.7460729071403636,4.5074499719644665,0.7460729071403636,switching_policy
h2_0.10_budget_200_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,3.537036831687486,4.3507474922743326,0.8137106605868465,4.3507474922743326,0.8137106605868465,switching_policy
h2_0.10_budget_200_pop_500_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,3.454381045422992,4.231698251857383,0.7773172064343905,4.231698251857383,0.7773172064343905,switching_policy
h2_0.10_budget_200_pop_500_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,3.8985192206649457,4.8053148147648646,0.9067955940999188,4.8053148147648646,0.9067955940999188,switching_policy
h2_0.10_budget_200_pop_500_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,active_learning_pev,3.516661681300048,4.261728862453849,0.7450671811538014,4.261728862453849,0.7450671811538014,switching_policy
h2_0.10_budget_75_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.955534112133873,3.945586215679531,0.9900521035456582,3.945586215679531,0.9900521035456582,switching_policy
h2_0.10_budget_75_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,3.010650832117319,3.5108499027483333,0.5001990706310142,3.5108499027483333,0.5001990706310142,switching_policy
h2_0.10_budget_75_pop_1000_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,3.391644405093075,3.9435053143265897,0.5518609092335147,3.9435053143265897,0.5518609092335147,switching_policy
h2_0.10_budget_75_pop_1000_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,2.865742606643491,4.04544041867303,1.1796978120295387,4.04544041867303,1.1796978120295387,switching_policy
h2_0.10_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,2.8782493719539475,3.9072673261401305,1.029017954186183,3.9072673261401305,1.029017954186183,switching_policy
h2_0.10_budget_75_pop_500_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,2.563248118325514,3.7292226446124985,1.1659745262869845,3.7292226446124985,1.1659745262869845,switching_policy
h2_0.10_budget_75_pop_500_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,2.567024356872654,3.6961476204111596,1.1291232635385056,3.6961476204111596,1.1291232635385056,switching_policy
h2_0.10_budget_75_pop_500_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,2.7106537813589737,3.860372448896642,1.1497186675376683,3.860372448896642,1.1497186675376683,switching_policy
h2_0.20_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,active_learning_pev,4.306731671394789,4.672648176386796,0.3659165049920077,4.672648176386796,0.3659165049920077,switching_policy
h2_0.20_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,4.2921443872950915,4.795187755135548,0.5030433678404567,4.795187755135548,0.5030433678404567,switching_policy
h2_0.20_budget_200_pop_1000_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,diversity_sampling,4.7833743602054115,4.649409193394918,-0.1339651668104933,4.7833743602054115,0.0,best_fixed_floor
h2_0.20_budget_200_pop_1000_parents_40_gen_8_loss_strong,averaged_one_step_switching_5_draws,highest_gebv,4.471509724794702,4.93986517378527,0.46835544899056814,4.93986517378527,0.46835544899056814,switching_policy
h2_0.20_budget_200_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,highest_gebv,4.441968055012113,4.845548144494304,0.4035800894821904,4.845548144494304,0.4035800894821904,switching_policy
h2_0.20_budget_200_pop_500_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,diversity_sampling,4.002508938131005,4.776005403779287,0.7734964656482823,4.776005403779287,0.7734964656482823,switching_policy
h2_0.20_budget_200_pop_500_parents_40_gen_8_loss_standard,averaged_one_step_switching_5_draws,diversity_sampling,4.487559456270726,5.042475038600275,0.5549155823295484,5.042475038600275,0.5549155823295484,switching_policy
