scenario,number_of_generations,number_of_unique_winners,number_of_strategy_switches,switching_detected,minimum_winner_margin,median_winner_margin,minimum_winner_replicates,low_replication_warning,winner_sequence
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,8,5,6,True,0.0020304598809839647,0.039374445954847986,20,False,highest_gebv -> active_learning_pev -> fixed_sampling -> diversity_sampling -> random_sampling -> active_learning_pev -> active_learning_pev -> diversity_sampling
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,8,5,7,True,0.003935787300279853,0.04085087067906855,20,False,fixed_sampling -> highest_gebv -> random_sampling -> active_learning_pev -> diversity_sampling -> active_learning_pev -> diversity_sampling -> highest_gebv
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_standard,8,4,6,True,0.0046656703316591,0.027604471222037352,20,False,highest_gebv -> highest_gebv -> active_learning_pev -> diversity_sampling -> highest_gebv -> diversity_sampling -> highest_gebv -> fixed_sampling
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_strong,8,5,6,True,0.017612329097275614,0.05142422492812686,20,False,highest_gebv -> active_learning_pev -> fixed_sampling -> active_learning_pev -> diversity_sampling -> random_sampling -> diversity_sampling -> diversity_sampling
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_standard,8,5,6,True,0.007859621056258814,0.0451555010030423,20,False,highest_gebv -> fixed_sampling -> diversity_sampling -> active_learning_pev -> active_learning_pev -> fixed_sampling -> diversity_sampling -> random_sampling
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_strong,8,4,5,True,0.020466616965843787,0.04979095424596033,20,False,highest_gebv -> active_learning_pev -> highest_gebv -> diversity_sampling -> active_learning_pev -> active_learning_pev -> active_learning_pev -> random_sampling
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_standard,8,5,5,True,0.010173130888501858,0.023797029647894694,20,False,diversity_sampling -> highest_gebv -> highest_gebv -> fixed_sampling -> active_learning_pev -> random_sampling -> random_sampling -> diversity_sampling
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_strong,8,5,6,True,0.007654822458965371,0.04345667476867171,20,False,highest_gebv -> fixed_sampling -> active_learning_pev -> active_learning_pev -> highest_gebv -> diversity_sampling -> random_sampling -> active_learning_pev
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_standard,8,5,6,True,0.004854618540127059,0.05127908307947694,20,False,highest_gebv -> diversity_sampling -> fixed_sampling -> random_sampling -> active_learning_pev -> active_learning_pev -> random_sampling -> diversity_sampling
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_strong,8,5,7,True,0.0007298216970501314,0.01679593192838086,20,False,highest_gebv -> diversity_sampling -> random_sampling -> fixed_sampling -> active_learning_pev -> highest_gebv -> fixed_sampling -> highest_gebv
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_standard,8,3,4,True,0.004450984186950502,0.03473888922825645,20,False,active_learning_pev -> active_learning_pev -> highest_gebv -> active_learning_pev -> active_learning_pev -> active_learning_pev -> highest_gebv -> diversity_sampling
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_strong,8,5,6,True,0.007208278052568656,0.05353638886426415,20,False,highest_gebv -> fixed_sampling -> fixed_sampling -> active_learning_pev -> highest_gebv -> diversity_sampling -> random_sampling -> active_learning_pev
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,8,5,6,True,0.0066809701493371065,0.031200847728831013,20,False,highest_gebv -> highest_gebv -> active_learning_pev -> random_sampling -> fixed_sampling -> active_learning_pev -> diversity_sampling -> fixed_sampling
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_strong,8,5,6,True,0.00012455580376641295,0.02881963337512336,20,False,highest_gebv -> highest_gebv -> fixed_sampling -> highest_gebv -> diversity_sampling -> highest_gebv -> active_learning_pev -> random_sampling
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_standard,8,4,4,True,0.012138137417369993,0.06449109234991532,20,False,active_learning_pev -> highest_gebv -> diversity_sampling -> diversity_sampling -> random_sampling -> random_sampling -> active_learning_pev -> active_learning_pev
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_strong,8,3,4,True,0.010111831604099258,0.05284998892042292,20,False,highest_gebv -> highest_gebv -> highest_gebv -> active_learning_pev -> active_learning_pev -> diversity_sampling -> active_learning_pev -> diversity_sampling
