scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.20_budget_200_parents_20,random_sampling,1,1,1000,200,0.2,1,200,200,0.40380771013593353,20,-0.13314627914244168,0.9430240904123077,1.4663030187608908,1.5994492979033323,1.4405995895364758,0.9611245699266789,1.5737458686789174,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,2,1000,200,0.2,1,200,200,0.6863807123113465,20,1.4405995895364758,0.9611245699266789,2.7084974819014263,1.2678978923649504,2.761393094479049,0.34781417357231487,1.3207935049425732,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,3,1000,200,0.2,1,200,200,0.5541558269373694,20,2.761393094479049,0.34781417357231487,3.7826795688347556,1.0212864743557066,3.7822292753213533,0.2532698900083822,1.0208361808423043,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,4,1000,200,0.2,1,200,200,0.5092412641145186,20,3.7822292753213533,0.2532698900083822,4.375236319480004,0.593007044158651,4.371646912503208,0.14137746078229313,0.5894176371818549,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,5,1000,200,0.2,1,200,200,0.27639621486072524,20,4.371646912503208,0.14137746078229313,4.328597237738414,-0.043049674764794155,4.3124312168758205,0.1439886696491887,-0.05921569562738771,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,6,1000,200,0.2,1,200,200,0.29882316253674673,20,4.3124312168758205,0.1439886696491887,4.551659768720063,0.23922855184424208,4.531322433112549,0.08479696829960363,0.21889121623672825,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,7,1000,200,0.2,1,200,200,0.15540434249790497,20,4.531322433112549,0.08479696829960363,4.6364393389237755,0.10511690581122668,4.663031694055547,0.03027682084592982,0.13170926094299862,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,random_sampling,1,8,1000,200,0.2,1,200,200,-0.11009411679102742,20,4.663031694055547,0.03027682084592982,4.702886643583858,0.03985494952831026,4.705750681176475,0.02236157213246548,0.04271898712092792,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,1,1000,200,0.2,1,200,200,0.24112136817954055,20,-0.13314627914244168,0.9430240904123077,0.29364552468937183,0.4267918038318135,0.26727965127401004,1.27265637494438,0.4004259304164517,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,2,1000,200,0.2,1,200,200,0.6871493363534035,20,0.26727965127401004,1.27265637494438,1.3283397550743026,1.0610601038002925,1.3132871501557848,0.8337148910621808,1.0460074988817747,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,3,1000,200,0.2,1,200,200,0.6563833923487651,20,1.3132871501557848,0.8337148910621808,2.552502841728743,1.2392156915729584,2.6004267478211776,0.46855578327899383,1.2871395976653928,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,4,1000,200,0.2,1,200,200,0.5120381144398878,20,2.6004267478211776,0.46855578327899383,3.2370237713594157,0.6365970235382381,3.2546754392264314,0.27136207629716247,0.6542486914052539,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,5,1000,200,0.2,1,200,200,0.5153499094215903,20,3.2546754392264314,0.27136207629716247,3.7245520480953673,0.4698766088689359,3.687189393846198,0.16786857391796442,0.4325139546197665,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,6,1000,200,0.2,1,200,200,0.04236248263923452,20,3.687189393846198,0.16786857391796442,3.7368489901787245,0.04965959633252659,3.7602336374527887,0.13573554555120704,0.07304424360659079,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,7,1000,200,0.2,1,200,200,0.47120973251708215,20,3.7602336374527887,0.13573554555120704,4.145112528366033,0.3848788909132441,4.126786082660315,0.07448776710328125,0.3665524452075264,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,8,1000,200,0.2,1,200,200,0.5208903156361746,20,4.126786082660315,0.07448776710328125,4.552064199974393,0.42527811731407805,4.547527565507566,0.022676866956040393,0.42074148284725066,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,1,1000,200,0.2,1,200,200,0.3249793095182585,20,-0.13314627914244168,0.9430240904123077,1.6489739677191095,1.7821202468615511,1.6288521082997605,0.47294987314693515,1.761998387442202,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,2,1000,200,0.2,1,200,200,0.39095487691459835,20,1.6288521082997605,0.47294987314693515,2.098140423639073,0.4692883153393126,2.133516582090534,0.5225368494019018,0.5046644737907737,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,3,1000,200,0.2,1,200,200,0.5695924107055785,20,2.133516582090534,0.5225368494019018,2.9010167466240477,0.7675001645335136,2.917452409345808,0.4095782515356454,0.7839358272552737,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,4,1000,200,0.2,1,200,200,0.5556032765575386,20,2.917452409345808,0.4095782515356454,3.603015660344237,0.6855632509984293,3.579875864328934,0.21231694024657963,0.6624234549831263,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,5,1000,200,0.2,1,200,200,0.330235173661741,20,3.579875864328934,0.21231694024657963,4.300430065925865,0.7205542015969311,4.325910167405667,0.23063570659176522,0.7460343030767325,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,6,1000,200,0.2,1,200,200,0.2454666406348887,20,4.325910167405667,0.23063570659176522,4.63357132920756,0.3076611618018932,4.658708613098118,0.1287471104667922,0.3327984456924513,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,7,1000,200,0.2,1,200,200,0.1406652746664228,20,4.658708613098118,0.1287471104667922,4.899673253154477,0.24096464005635898,4.923396215989315,0.10595742445299172,0.26468760289119686,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,8,1000,200,0.2,1,200,200,0.4341943850794243,20,4.923396215989315,0.10595742445299172,5.225907634115493,0.3025114181261781,5.21454241172116,0.05304881776648692,0.2911461957318453,,,30001,0.2,200,20,8,,,,,,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,1,1000,200,0.2,1,200,200,0.4285728322313971,20,-0.13314627914244165,0.9430240904123077,1.3123958088282297,1.4455420879706713,1.1850906867130029,0.6772240385877029,1.3182369658554445,0.6636550260009244,0.7940490409964696,30001,0.2,200,20,8,50.0,150.0,True,0.30008793366917375,0.4285728322313971,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,2,1000,200,0.2,1,200,200,0.57417296386097,20,1.1850906867130029,0.6772240385877029,1.1257994972832153,-0.059291189429787616,2.3600055791264603,0.3568853918356925,1.1749148924134574,0.47527366402209736,0.6334325099887792,30001,0.2,200,20,8,50.0,150.0,True,0.5164809209818485,0.57417296386097,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,3,1000,200,0.2,1,200,200,0.42868767974798966,20,2.3600055791264603,0.3568853918356925,0.4322748401892822,-1.927730738937178,2.7924612028160065,0.3049920690938783,0.43245562368954626,0.3409896820085123,0.46303122100653127,30001,0.2,200,20,8,50.0,150.0,True,0.15673077252766462,0.42868767974798966,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,4,1000,200,0.2,1,200,200,0.15645566437482783,20,2.7924612028160065,0.3049920690938783,0.3168163046502569,-2.4756448981657497,3.081894766304042,0.3091460330067843,0.2894335634880356,0.3403550799994264,0.4264469019835815,30001,0.2,200,20,8,50.0,150.0,True,-0.006629373838456207,0.15645566437482783,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,5,1000,200,0.2,1,200,200,0.44033876987257714,20,3.081894766304042,0.3091460330067843,0.3127973404809968,-2.769097425823045,3.3974823843725663,0.4111325618125752,0.3155876180685242,0.35365947100217454,0.4454096010013018,30001,0.2,200,20,8,50.0,150.0,True,0.4408691241264462,0.44033876987257714,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,6,1000,200,0.2,1,200,200,0.6835466042407128,20,3.3974823843725663,0.4111325618125752,1.0027592211549807,-2.3947231632175856,4.407930136270527,0.13696361815814415,1.0104477518979604,0.290460960008204,0.3778805900074076,30001,0.2,200,20,8,50.0,150.0,True,0.33721900961832435,0.6835466042407128,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,7,1000,200,0.2,1,200,200,0.38799992297849456,20,4.407930136270527,0.13696361815814415,0.44338192563648055,-3.9645482106340464,4.850229013331547,0.04792548156087772,0.44229887706102033,0.2637216889997944,0.35200777198770083,30001,0.2,200,20,8,50.0,150.0,True,0.1964546053619036,0.38799992297849456,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,8,1000,200,0.2,1,200,200,0.24404033633152444,20,4.850229013331547,0.04792548156087772,0.06486175534464493,-4.785367257986902,4.913940599348416,0.028658666698953447,0.06371158601686933,0.2632858639990445,0.37898035801481456,30001,0.2,200,20,8,50.0,150.0,True,0.27048686316031323,0.24404033633152444,,
h2_0.20_budget_200_parents_20,highest_gebv,1,1,1000,200,0.2,1,200,200,0.3227939905067222,20,-0.13314627914244165,0.9430240904123077,0.9975861559982266,1.1307324351406682,0.8403482785432859,0.7351219292115386,0.9734945576857275,0.32737990497844294,0.4519349229813088,30001,0.2,200,20,8,50.0,,False,0.30008793366917375,0.3227939905067222,150.0,predicted_gebv
h2_0.20_budget_200_parents_20,highest_gebv,1,2,1000,200,0.2,1,200,200,0.662347631485531,20,0.8403482785432859,0.7351219292115386,0.6254814983976201,-0.21486678014566574,1.4294416997808062,0.36182285054481594,0.5890934212375203,0.2257320240023546,0.33287667398690246,30001,0.2,200,20,8,50.0,,False,0.2817282291168364,0.662347631485531,150.0,predicted_gebv
h2_0.20_budget_200_parents_20,highest_gebv,1,3,1000,200,0.2,1,200,200,0.03987197915826161,20,1.4294416997808062,0.36182285054481594,-0.16799334946549957,-1.5974350492463056,1.2789964264737281,0.36576126368306855,-0.15044527330707802,0.13270691499928944,0.22602511500008404,30001,0.2,200,20,8,50.0,,False,0.19230983356933587,0.03987197915826161,150.0,predicted_gebv
h2_0.20_budget_200_parents_20,highest_gebv,1,4,1000,200,0.2,1,200,200,0.2586497273073009,20,1.2789964264737281,0.36576126368306855,0.5513564133266505,-0.7276400131470776,1.831439783708796,0.24973242609362928,0.5524433572350678,0.07295609399443492,0.16307335000601597,30001,0.2,200,20,8,50.0,,False,0.39387053029604313,0.2586497273073009,150.0,predicted_gebv
