scenario,strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
h2_0.20_budget_200_parents_20,active_learning_pev,1,30001,8,1600,-0.13314627914244165,4.913940599348416,5.047086878490858,0.6308858598113573,0.46676933407863685,0.3154429299056786,25.53066116217667,0.4179768467048117,0.24404033633152444,0.15645566437482783,0.6835466042407128,0.1669890629429963,0.9430240904123077,0.028658666698953447,0.03039017453565088,-0.09798434034283826,1600.0,0.37392517950502224,0.4839047493733233,0.2764624819509023,0.4179768467048117,3.8712379949865863
h2_0.20_budget_200_parents_20,active_learning_pev,2,30002,8,1600,-0.13314627914244165,5.406153283974324,5.539299563116765,0.6924124453895957,0.3571625239449771,0.34620622269479784,24.04798056046943,0.451102324539391,0.5809055273376125,0.2849876249581793,0.6154940962726455,0.12746023718332974,0.9430240904123077,0.11117900249922416,0.11789624849415525,-0.10259548515095292,1600.0,0.3641566508813412,0.46823680887609953,0.28743181846140486,0.451102324539391,3.7458944710087962
h2_0.20_budget_200_parents_20,active_learning_pev,3,30003,8,1600,-0.13314627914244165,3.8584612371037657,3.9916075162462072,0.4989509395307759,0.5047725100968649,0.24947546976538795,23.055888673017336,0.32851433738428665,0.2882919016937921,0.1699731222389424,0.5401933521434651,0.13068035820655288,0.9430240904123077,0.02643447384261227,0.02803159973469461,-0.10277275661442105,1600.0,0.33043195424761507,0.4268694666279771,0.15884799906885055,0.32851433738428665,3.4149557330238167
h2_0.20_budget_200_parents_20,diversity_sampling,1,30001,8,1600,-0.13314627914244168,5.21454241172116,5.347688690863602,0.6684610863579502,0.48698937988695024,0.3342305431789751,27.77358025998703,0.37396141846730635,0.4341943850794243,0.1406652746664228,0.5695924107055785,0.146595297018676,0.9430240904123077,0.05304881776648692,0.056253936994645586,-0.09379000765798692,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,diversity_sampling,2,30002,8,1600,-0.13314627914244168,5.677398546521494,5.810544825663936,0.726318103207992,0.42301531076523197,0.363159051603996,28.775203811192917,0.41462260250457716,0.2815696765388449,0.2815696765388449,0.5281235875001005,0.08848057238584424,0.9430240904123077,0.12632977407081605,0.13396240388257985,-0.10462875403855047,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,diversity_sampling,3,30003,8,1600,-0.13314627914244168,3.1878473193101815,3.320993598452623,0.4151241998065779,0.3259650477003803,0.20756209990328897,17.925235446818498,0.2774570363017817,0.1904289392042383,-0.14205891918530192,0.549126425591382,0.2082038027515962,0.9430240904123077,0.08755149881741542,0.0928412112771544,-0.11803566690735079,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,fixed_sampling,1,30001,8,1600,-0.13314627914244168,4.547527565507566,4.680673844650007,0.5850842305812509,0.39721202065911426,0.29254211529062546,22.2822389787588,0.45581308144195976,0.5208903156361746,0.04236248263923452,0.6871493363534035,0.21446172930111793,0.9430240904123077,0.022676866956040393,0.024046964639180792,-0.14954234362885577,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,fixed_sampling,2,30002,8,1600,-0.13314627914244168,3.6957596278166256,3.828905906959067,0.4786132383698834,0.3279050846003373,0.2393066191849417,18.699180254087228,0.3527600384580494,-0.04306269067097189,-0.04306269067097189,0.5586884368114816,0.20778723539051597,0.9430240904123077,0.09686595666261391,0.1027184328029863,-0.12022692470304909,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,fixed_sampling,3,30003,8,1600,-0.13314627914244168,2.5877446796716566,2.720890958814098,0.34011136985176227,0.4997889346443545,0.17005568492588113,17.439938247636405,0.23142129856680055,-0.2324447846997504,-0.2324447846997504,0.6721906870354049,0.2800550714878829,0.9430240904123077,0.006438377488823213,0.006827373292243504,-0.11257416151022605,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,highest_gebv,1,30001,8,1600,-0.13314627914244165,3.6442413621993346,3.777387641341776,0.472173455167722,0.401837786390323,0.236086727583861,17.450242633348427,0.3563330581548094,0.6640990278664706,0.03987197915826161,0.6640990278664706,0.22083888113888483,0.9430240904123077,0.014857833628779613,0.015755518633976243,-0.10908077048088363,1600.0,0.12015378799333121,0.21744938712072326,0.28651512478469565,0.3563330581548094,1.739595096965786
