scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_chosen_strategy,initial_batch_size,model_score_batch_size,model_score,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,uncertainty_batch_size
h2_0.20_budget_200_parents_20,oracle_switching,1,1,1000,200,0.2,1,200,200,0.3249793095182585,20,-0.13314627914244168,0.9430240904123077,1.6489739677191095,1.7821202468615511,1.641840567458252,0.5121410823756399,1.7749868466006935,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,1,2,1000,200,0.2,1,200,200,0.46860878812478746,20,1.641840567458252,0.5121410823756399,1.0385840870775895,-0.6032564803806624,2.7366216610013243,0.4013856029554274,1.0947810935430724,0.23941744401236065,0.31951435198425315,30001,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.39938773910741204,0.46860878812478746,
h2_0.20_budget_200_parents_20,oracle_switching,1,3,1000,200,0.2,1,200,200,0.5045063632838155,20,2.7366216610013243,0.4013856029554274,0.7616769835277615,-1.9749446774735628,3.522431650034343,0.1856171616667552,0.7858099890330186,0.14843346600537188,0.22019325499422848,30001,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.4140913360121467,0.5045063632838155,
h2_0.20_budget_200_parents_20,oracle_switching,1,4,1000,200,0.2,1,200,200,0.49952631446562695,20,3.522431650034343,0.1856171616667552,0.6829354326216882,-2.8394962174126546,4.227099091475368,0.050704828905509335,0.7046674414410248,0.09968778898473829,0.18262506899191067,30001,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.2164258411358883,0.49952631446562695,
h2_0.20_budget_200_parents_20,oracle_switching,1,5,1000,200,0.2,1,200,200,0.4455463641163373,20,4.227099091475368,0.050704828905509335,0.19758719363744887,-4.029511897837919,4.423555209883987,0.018351869909571075,0.19645611840861932,0.06489789602346718,0.14890575999743305,30001,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.1617643298848693,0.4455463641163373,
h2_0.20_budget_200_parents_20,oracle_switching,1,6,1000,200,0.2,1,200,200,0.12545035842104638,20,4.423555209883987,0.018351869909571075,4.487337514128159,0.06378230424417186,4.480206660638098,0.034647297417069706,0.05665145075411093,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,1,7,1000,200,0.2,1,200,200,0.5685577241986809,20,4.480206660638098,0.034647297417069706,4.771251573591752,0.2910449129536543,4.7671310385670065,0.011603494677191307,0.28692437792890857,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,1,8,1000,200,0.2,1,200,200,0.27978131313815335,20,4.7671310385670065,0.011603494677191307,4.859113752658996,0.09198271409198977,4.8614770618420495,0.0023759172281980906,0.09434602327504304,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,2,1,1000,200,0.2,1,200,200,0.3851738658868209,20,-0.13314627914244168,0.9430240904123077,1.0781865528221348,1.2113328319645764,1.0958337606720656,0.7788763695491534,1.2289800398145072,,,30002,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,2,2,1000,200,0.2,1,200,200,0.493695479893861,20,1.0958337606720656,0.7788763695491534,2.381806741005513,1.2859729803334474,2.340654083552074,0.6157239660195206,1.2448203228800083,,,30002,0.2,200,20,8,diversity_sampling,,,,,,,
