name,heritability,population_size,diversity_loss,number_of_replicates,number_of_generations,number_to_phenotype,number_of_parents,number_of_crosses,f1_per_cross,dh_per_f1,reps,trait,snp_chip,n_cores,active_initial_batch_size,base_seed,total_runtime_seconds
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,0.05,500,standard,20,8,75,20,50,1,10,1,1,1,1,50,30001,45175.338529045024
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_strong,0.05,500,strong,20,8,75,20,25,1,20,1,1,1,1,50,31001,45175.338529045024
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_standard,0.05,500,standard,20,8,75,40,50,1,10,1,1,1,1,50,32001,45175.338529045024
h2_0.05_budget_75_pop_500_parents_40_gen_8_loss_strong,0.05,500,strong,20,8,75,40,25,1,20,1,1,1,1,50,33001,45175.338529045024
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_standard,0.05,1000,standard,20,8,75,20,100,1,10,1,1,1,1,50,34001,45175.338529045024
h2_0.05_budget_75_pop_1000_parents_20_gen_8_loss_strong,0.05,1000,strong,20,8,75,20,50,1,20,1,1,1,1,50,35001,45175.338529045024
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_standard,0.05,1000,standard,20,8,75,40,100,1,10,1,1,1,1,50,36001,45175.338529045024
h2_0.05_budget_75_pop_1000_parents_40_gen_8_loss_strong,0.05,1000,strong,20,8,75,40,50,1,20,1,1,1,1,50,37001,45175.338529045024
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_standard,0.05,500,standard,20,8,200,20,50,1,10,1,1,1,1,50,38001,45175.338529045024
h2_0.05_budget_200_pop_500_parents_20_gen_8_loss_strong,0.05,500,strong,20,8,200,20,25,1,20,1,1,1,1,50,39001,45175.338529045024
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_standard,0.05,500,standard,20,8,200,40,50,1,10,1,1,1,1,50,40001,45175.338529045024
h2_0.05_budget_200_pop_500_parents_40_gen_8_loss_strong,0.05,500,strong,20,8,200,40,25,1,20,1,1,1,1,50,41001,45175.338529045024
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,0.05,1000,standard,20,8,200,20,100,1,10,1,1,1,1,50,42001,45175.338529045024
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,0.05,1000,strong,20,8,200,20,50,1,20,1,1,1,1,50,43001,45175.338529045024
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_standard,0.05,1000,standard,20,8,200,40,100,1,10,1,1,1,1,50,44001,45175.338529045024
h2_0.05_budget_200_pop_1000_parents_40_gen_8_loss_strong,0.05,1000,strong,20,8,200,40,50,1,20,1,1,1,1,50,45001,45175.338529045024
h2_0.10_budget_75_pop_500_parents_20_gen_8_loss_standard,0.1,500,standard,20,8,75,20,50,1,10,1,1,1,1,50,46001,45175.338529045024
h2_0.10_budget_75_pop_500_parents_20_gen_8_loss_strong,0.1,500,strong,20,8,75,20,25,1,20,1,1,1,1,50,47001,45175.338529045024
h2_0.10_budget_75_pop_500_parents_40_gen_8_loss_standard,0.1,500,standard,20,8,75,40,50,1,10,1,1,1,1,50,48001,45175.338529045024
h2_0.10_budget_75_pop_500_parents_40_gen_8_loss_strong,0.1,500,strong,20,8,75,40,25,1,20,1,1,1,1,50,49001,45175.338529045024
h2_0.10_budget_75_pop_1000_parents_20_gen_8_loss_standard,0.1,1000,standard,20,8,75,20,100,1,10,1,1,1,1,50,50001,45175.338529045024
h2_0.10_budget_75_pop_1000_parents_20_gen_8_loss_strong,0.1,1000,strong,20,8,75,20,50,1,20,1,1,1,1,50,51001,45175.338529045024
h2_0.10_budget_75_pop_1000_parents_40_gen_8_loss_standard,0.1,1000,standard,20,8,75,40,100,1,10,1,1,1,1,50,52001,45175.338529045024
h2_0.10_budget_75_pop_1000_parents_40_gen_8_loss_strong,0.1,1000,strong,20,8,75,40,50,1,20,1,1,1,1,50,53001,45175.338529045024
