scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_population_size,scenario_diversity_loss,scenario_number_of_parents,scenario_number_of_crosses,scenario_dh_per_f1,scenario_number_of_generations,switching_chosen_strategy,switching_policy,chosen_strategy_score,best_fixed_continuation,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,1,500,75,0.15,1,75,75,0.19390075098488738,20,-0.10750762888163229,0.9535162127165758,0.236839022672408,0.3443466515540403,0.406273214955913,1.000039141895571,0.5137808438375453,,,30001,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.31495239755906834,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,2,500,75,0.15,1,75,75,0.3984772084454998,20,0.406273214955913,1.000039141895571,1.0488407783738576,0.6425675634179446,1.533905121886324,0.2747568125833018,1.127631906930411,0.24001045600743964,0.30890681900200434,30001,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,1.1245509253748007,active_learning_pev,50.0,25.0,True,0.24775683797171572,0.3984772084454998,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,3,500,75,0.15,1,75,75,0.18671313820461194,20,1.533905121886324,0.27475681258330176,1.825991792368917,0.29208667048259307,1.8072206800047506,0.10625465367940248,0.27331555811842656,,,30001,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.2897656453319879,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,4,500,75,0.15,1,75,75,-0.016231859015202764,20,1.8072206800047506,0.10625465367940248,0.05026817878514672,-1.756952501219604,1.8361446038344253,0.10129240097730159,0.02892392382967479,0.049796034989412874,0.11161670897854492,30001,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.027907857726892214,active_learning_pev,50.0,,False,-0.005978429908176608,-0.016231859015202764,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,5,500,75,0.15,1,75,75,0.07158321498638072,20,1.8361446038344253,0.10129240097730158,2.030313147816854,0.19416854398242855,2.0427377366494928,0.11854972398196355,0.20659313281506742,,,30001,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.21227338622021602,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,6,500,75,0.15,1,75,75,-0.10844410414180522,20,2.0427377366494928,0.11854972398196355,2.1543452935955374,0.11160755694604463,2.1629405365110035,0.07153823633387198,0.12020279986151072,,,30001,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.11069518833473727,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,7,500,75,0.15,1,75,75,-0.27896361021349536,20,2.1629405365110035,0.07153823633387198,2.1034345993225654,-0.05950593718843811,2.1016232938763557,0.0584660515380097,-0.06131724263464777,,,30001,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,-0.04425568383747356,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,8,500,75,0.15,1,75,75,0.1941760738167527,20,2.1016232938763557,0.0584660515380097,2.191670467618069,0.09004717374171323,2.19082295559996,0.023389057460904233,0.08919966172360416,,,30001,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.09074554499579532,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,1,500,75,0.15,1,75,75,0.22739567944524786,20,-0.18162254825809987,0.9366901329390922,0.43222670694798826,0.6138492552060881,0.3801967246014602,1.1115777845594763,0.5618192728595601,0.1599903960013762,0.22061534898239188,30002,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.6497984557322105,active_learning_pev,50.0,,False,0.26009885743161376,0.22739567944524786,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,2,500,75,0.15,1,75,75,0.5022343028541546,20,0.3801967246014602,1.1115777845594763,1.3796327358734382,0.999436011271978,1.2860419681193866,0.683530597132372,0.9058452435179265,,,30002,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.898327370790225,active_learning_pev,,,,,,,
