episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind,model_available_steps,uncertainty_available_steps,pev_available_steps,action_random_count,action_diversity_count,action_highest_pev_count,action_highest_gebv_count,action_stop_count
1,30001,1.0,3.785343824321321,24,0,8,-0.036406036211376946,0.12411774797474592,,30,linear_q,8,8,8,10,9,2,2,1
2,30002,0.997625,3.4351872665392182,24,0,8,0.2088280069139845,0.12631367061086454,,30,linear_q,8,8,8,10,7,1,4,2
3,30003,0.99525,2.6896667354791903,24,0,8,0.09248572225854246,0.04079474610149349,,30,linear_q,8,8,8,8,12,2,1,1
4,30004,0.992875,4.424052898508785,24,0,8,0.21571155077095172,0.09250328861272589,,30,linear_q,8,8,8,13,6,2,0,3
5,30005,0.9905,4.156114230445936,24,0,8,0.13035232235740013,0.11664380667308225,,30,linear_q,8,8,8,9,10,4,0,1
6,30006,0.988125,3.3741299082005884,24,0,8,0.06800227001813974,0.01643923317454135,,30,linear_q,8,8,8,14,8,1,0,1
7,30007,0.98575,3.991343954481123,24,0,8,0.10124024081392813,0.07505094460741954,,30,linear_q,8,8,8,11,9,3,1,0
8,30008,0.983375,2.5316303593910785,24,0,8,-0.0310497656225035,0.012964395548673693,,30,linear_q,8,8,8,13,6,2,2,1
9,30009,0.981,2.954285619384783,24,0,8,-0.16816216800821238,0.06223758982896337,,30,linear_q,8,8,8,9,8,1,1,5
10,30010,0.978625,3.4532110817349877,24,0,8,0.026648760496053026,0.020866031248464274,,30,linear_q,8,8,8,5,15,1,1,2
11,30011,0.97625,2.548473060080553,24,0,8,0.197841405569259,0.11128393429361834,,30,linear_q,8,8,8,13,4,3,1,3
12,30012,0.973875,2.9460232560662902,24,0,8,0.39860970553577246,0.19968538760402396,,30,linear_q,8,8,8,5,12,0,4,3
13,30013,0.9715,3.1916930005505364,24,0,8,-0.022069573117839525,0.12739502834433963,,30,linear_q,8,8,8,8,10,2,2,2
14,30014,0.969125,3.881256454243556,24,0,8,0.478881566016093,0.1250003315758787,,30,linear_q,8,8,8,8,11,2,1,2
15,30015,0.96675,3.150431404344819,24,0,8,0.03219169318088655,0.07054132520998897,,30,linear_q,8,8,8,13,6,2,2,1
16,30016,0.964375,3.286568712726905,24,0,8,0.4396448791721945,0.03176848415468374,,30,linear_q,8,8,8,8,13,1,2,0
17,30017,0.962,2.8508094292136668,24,0,8,0.09279088793053636,0.05951382551137283,,30,linear_q,8,8,8,9,8,3,1,3
18,30018,0.959625,2.344017942239935,24,0,8,-0.06737553599701518,0.0533392232637249,,30,linear_q,8,8,8,8,11,2,2,1
19,30019,0.95725,3.2078695185215897,24,0,8,-0.16890657420359512,0.16753796468785503,,30,linear_q,8,8,8,13,5,2,4,0
20,30020,0.954875,2.9665096530507684,24,0,8,0.031866200213425344,0.05129389883683826,,30,linear_q,8,8,8,15,6,1,0,2
21,30021,0.9525,2.918131861337196,24,0,8,-0.14507993154939813,0.013816294450452331,,30,linear_q,8,8,8,7,12,3,1,1
22,30022,0.950125,2.809397613812375,24,0,8,0.16414151981943603,0.06634659603614222,,30,linear_q,8,8,8,8,10,1,1,4
23,30023,0.94775,3.2205364833082064,24,0,8,0.19911135322734097,0.010971625035315295,,30,linear_q,8,8,8,11,8,1,3,1
24,30024,0.945375,3.177590577681183,24,0,8,0.43909756560611646,0.049733715277883075,,30,linear_q,8,8,8,12,8,0,2,2
25,30025,0.9430000000000001,4.112157906777561,24,0,8,-0.2848728175526216,0.17751504448782032,,30,linear_q,8,8,8,7,12,2,2,1
26,30026,0.940625,3.1880774070016393,24,0,8,0.11406840841716637,0.07687650709439339,,30,linear_q,8,8,8,13,8,2,0,1
27,30027,0.93825,3.9002089833894167,24,0,8,-0.01673043563860732,0.013440748464751736,,30,linear_q,8,8,8,8,9,2,1,4
28,30028,0.935875,3.27489347114666,24,0,8,-0.12986470397668626,0.087101238510639,,30,linear_q,8,8,8,8,13,1,0,2
29,30029,0.9335,3.192891660797465,24,0,8,0.0013054392575457818,0.016694147979829373,,30,linear_q,8,8,8,8,12,2,1,1
30,30030,0.931125,3.729400003323082,24,0,8,0.0677531147894741,0.060955729693885845,,30,linear_q,8,8,8,12,7,1,3,1
31,30031,0.92875,2.691487213568885,24,0,8,-0.07553925383310389,0.10736763202978748,,30,linear_q,8,8,8,11,11,1,1,0
32,30032,0.926375,3.6377213449839996,24,0,8,0.15565366101506894,0.10369073255458994,,30,linear_q,8,8,8,10,11,2,1,0
33,30033,0.924,3.0294125026020158,24,0,8,0.20385676626526328,0.1075459574484138,,30,linear_q,8,8,8,12,7,2,1,2
34,30034,0.921625,2.172681038862195,24,0,8,-0.16701972659059394,0.025438949783012556,,30,linear_q,8,8,8,12,7,2,2,1
35,30035,0.91925,2.7457839851976726,24,0,8,-0.1626995167866232,0.01776639815463523,,30,linear_q,8,8,8,7,13,2,2,0
36,30036,0.916875,4.24961285306154,24,0,8,0.06556625016745476,0.0724939790983364,,30,linear_q,8,8,8,10,8,4,1,1
37,30037,0.9145,2.3984875650941038,24,0,8,-0.04151843952617429,0.0839397920634463,,30,linear_q,8,8,8,10,9,1,1,3
38,30038,0.912125,2.9765002587118468,24,0,8,-0.13495609557952504,0.12037547720093156,,30,linear_q,8,8,8,3,15,1,0,5
39,30039,0.9097500000000001,4.369033222734992,24,0,8,0.5051929248916056,0.1368526978156542,,30,linear_q,8,8,8,11,8,2,2,1
40,30040,0.907375,2.3613441708203022,24,0,8,0.03914299050125036,0.01556380018284476,,30,linear_q,8,8,8,11,7,2,2,2
