episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,episode_total_genetic_gain,episode_mean_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind,model_available_steps,uncertainty_available_steps,pev_available_steps,action_random_count,action_diversity_count,action_highest_pev_count,action_highest_gebv_count,action_stop_count
1,30001,1.0,15.534549316540684,24,0,8,0.544868510349453,3.8671341259273717,0.48339176574092146,0.14480050016941037,,30,linear_q,8,8,8,10,9,2,2,1
2,30002,0.9604166666666667,8.498979206717193,24,0,8,0.27367407485733874,1.9691957795610495,0.2461494724451312,0.05659847053594612,,30,linear_q,8,8,8,10,7,1,4,2
3,30003,0.9208333333333334,8.0093292519022,24,0,8,0.3769409703335318,2.284975273269715,0.2856219091587144,0.19979029792597308,,30,linear_q,8,8,8,6,14,4,0,0
4,30004,0.88125,12.707274028184916,24,0,8,0.46634640453521126,4.043684162530671,0.5054605203163339,0.14402790344771796,,30,linear_q,8,8,8,11,8,2,2,1
5,30005,0.8416666666666667,12.41269750543567,24,0,8,0.18420163604369488,3.2744112926945563,0.40930141158681954,0.09532032451955086,,30,linear_q,8,8,8,12,7,0,2,3
6,30006,0.8020833333333334,10.201100651035816,24,0,8,-0.02115200235153658,4.599451253147985,0.5749314066434982,0.00608089918862866,,30,linear_q,8,8,8,17,5,1,0,1
7,30007,0.7625,4.863850676880864,24,0,8,0.16007439240903332,1.9272120338705523,0.24090150423381904,0.18127253562085524,,30,linear_q,8,8,8,14,6,1,2,1
8,30008,0.7229166666666667,4.3770408675825,24,0,8,-0.0482380254626793,1.7956874924591302,0.22446093655739127,0.012143376323720801,,30,linear_q,8,8,8,8,9,1,6,0
9,30009,0.6833333333333333,3.8785005173728084,24,0,8,-0.03098333685037047,1.6609090276763778,0.20761362845954723,0.08313263952744072,,30,linear_q,8,8,8,14,4,1,1,4
10,30010,0.64375,13.528080176597951,24,0,8,-0.028950069506975318,2.9515195804892502,0.3689399475611563,0.15837129397724417,,30,linear_q,8,8,8,12,9,2,0,1
11,30011,0.6041666666666667,4.304268978769633,24,0,8,-0.21181502752248016,1.725296621988782,0.21566207774859775,0.0705714442553712,,30,linear_q,8,8,8,8,10,3,1,2
12,30012,0.5645833333333334,3.124455372591035,24,0,8,-0.2789461374294414,1.168600619643824,0.146075077455478,0.09853156926538484,,30,linear_q,8,8,8,16,6,0,2,0
13,30013,0.525,12.736370704559892,24,0,8,0.23454782733042867,3.62569030860115,0.45321128857514376,0.08170460597288481,,30,linear_q,8,8,8,4,13,1,6,0
14,30014,0.4854166666666667,10.412937068149251,24,0,8,0.28716682341791655,2.880927753678414,0.36011596920980177,0.01625051255798721,,30,linear_q,8,8,8,4,15,0,3,2
15,30015,0.4458333333333333,8.882783236655357,24,0,8,0.06108746129924758,1.410317552317246,0.17628969403965575,0.05756494813904321,,30,linear_q,8,8,8,11,6,1,6,0
16,30016,0.40625,10.833337043607225,24,0,8,-0.006237812524904296,2.467817149905638,0.30847714373820473,0.0,,30,linear_q,8,8,8,16,1,0,5,2
17,30017,0.3666666666666667,9.249930010609384,24,0,8,0.08592361289664008,1.6392965189159268,0.20491206486449084,0.0358698083948011,,30,linear_q,8,8,8,15,3,0,6,0
18,30018,0.3270833333333333,9.115976213570574,24,0,8,0.006187720198645774,2.809885971510839,0.35123574643885486,0.00361993663503881,,30,linear_q,8,8,8,11,5,1,7,0
19,30019,0.2875000000000001,11.841308323197147,24,0,8,-0.0027981951162567853,2.317115586106011,0.2896394482632514,0.03669788378845458,,30,linear_q,8,8,8,13,4,0,6,1
20,30020,0.24791666666666679,5.212991472760929,24,0,8,0.06728192844917713,1.1480922814189976,0.1435115351773747,0.004773211817053771,,30,linear_q,8,8,8,16,0,0,8,0
21,30021,0.20833333333333337,7.298484305040242,24,0,8,0.0029345469537407354,2.364124923862717,0.2955156154828396,0.05126476947342027,,30,linear_q,8,8,8,15,2,1,6,0
22,30022,0.16875000000000007,9.182999566787608,24,0,8,-0.017292516536323133,2.131168131653377,0.2663960164566721,0.024697444207408457,,30,linear_q,8,8,8,15,1,0,8,0
23,30023,0.12916666666666676,7.168375460950087,24,0,8,0.18394344807690732,0.9415617985175202,0.11769522481469002,0.0972134571554631,,30,linear_q,8,8,8,18,1,0,4,1
24,30024,0.08958333333333335,3.657294146892366,24,0,8,-0.046452283877852274,2.0798455878540087,0.2599806984817511,0.0052561877446534394,,30,linear_q,8,8,8,18,1,0,5,0
25,30025,0.050000000000000044,7.446257139335856,24,0,8,0.004336815902756586,1.6723449596966014,0.20904311996207517,0.022535156414625987,,30,linear_q,8,8,8,17,0,0,7,0
26,30026,0.050000000000000044,10.9368991187522,24,0,8,0.262393926178637,2.302212551007183,0.28777656887589786,0.1331225590169625,,30,linear_q,8,8,8,15,1,0,8,0
27,30027,0.050000000000000044,11.650544052419189,24,0,8,-0.02114419097198761,3.300394871570558,0.4125493589463198,0.0815244606079668,,30,linear_q,8,8,8,15,1,0,8,0
28,30028,0.050000000000000044,6.420846256817371,24,0,8,0.1539583368152519,0.7451722245846308,0.09314652807307885,0.048277323828758795,,30,linear_q,8,8,8,14,2,0,8,0
29,30029,0.050000000000000044,10.843452535598972,24,0,8,0.19475938065461484,2.2934707593775485,0.28668384492219356,0.04389400943051429,,30,linear_q,8,8,8,14,4,0,6,0
30,30030,0.050000000000000044,9.727291318808449,24,0,8,-0.1840669180960921,2.254279911484602,0.28178498893557524,0.037900023118395264,,30,linear_q,8,8,8,16,0,0,6,2
