seed,step,generation_before,number_phenotyped_before,model_available_before,uncertainty_available_before,finite_pev_count_before,mean_pev_before,max_pev_before,mean_reliability_before,mask_random_before,mask_diversity_before,mask_highest_pev_before,mask_highest_gebv_before,mask_stop_before,chosen_action,chosen_action_name,uncertainty_error_before,reward,event_after,generation_after,number_phenotyped_after,model_available_after,uncertainty_available_after,finite_pev_count_after,mean_reliability_after,uncertainty_error_after
30001,1,1,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,1,25,False,False,0,0.0,
30001,2,1,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,1,50,True,True,500,0.16006492310901413,
30001,3,1,50,True,True,500,10.14199990963334,11.55729478450596,0.16006492310901413,True,True,True,True,True,2,Highest-PEV batch,,0.7331208783673,generation_finalized,2,0,False,False,0,0.0,
30001,4,2,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,2,25,False,False,0,0.0,
30001,5,2,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,2,50,True,True,500,2.1327183485908564e-09,
30001,6,2,50,True,True,500,5.0312563811004604e-08,6.593536760200995e-08,2.1327183485908564e-09,True,True,True,True,True,2,Highest-PEV batch,,1.211590745331371,generation_finalized,3,0,False,False,0,0.0,
30001,7,3,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,3,25,False,False,0,0.0,
30001,8,3,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,3,50,True,True,500,0.16108650100273186,
30001,9,3,50,True,True,500,2.56835030696928,3.303306993329726,0.16108650100273186,True,True,True,True,True,2,Highest-PEV batch,,0.6589836524992599,generation_finalized,4,0,False,False,0,0.0,
30001,10,4,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,4,25,False,False,0,0.0,
30001,11,4,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,4,50,True,True,500,0.08902775544895161,
30001,12,4,50,True,True,500,1.4303587457826223,2.011797895161425,0.08902775544895161,True,True,True,True,True,2,Highest-PEV batch,,0.45813316170855284,generation_finalized,5,0,False,False,0,0.0,
30001,13,5,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,5,25,False,False,0,0.0,
30001,14,5,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,5,50,True,True,500,0.48843270018103085,
30001,15,5,50,True,True,500,8.289369145260169,12.623771314136343,0.48843270018103085,True,True,True,True,True,2,Highest-PEV batch,,0.34365311998496606,generation_finalized,6,0,False,False,0,0.0,
30001,16,6,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,6,25,False,False,0,0.0,
30001,17,6,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,6,50,True,True,500,3.1364527947669923e-09,
30001,18,6,50,True,True,500,3.7012666371702245e-08,5.6613272171706005e-08,3.1364527947669923e-09,True,True,True,True,True,2,Highest-PEV batch,,0.11706694196169538,generation_finalized,7,0,False,False,0,0.0,
30001,19,7,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,7,25,False,False,0,0.0,
30001,20,7,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,7,50,True,True,500,0.08148642612020733,
30001,21,7,50,True,True,500,0.9126510201002062,1.376957062991166,0.08148642612020733,True,True,True,True,True,2,Highest-PEV batch,,0.2752511344812112,generation_finalized,8,0,False,False,0,0.0,
30001,22,8,0,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,8,25,False,False,0,0.0,
30001,23,8,25,False,False,0,0.0,0.0,0.0,True,True,False,False,False,1,Diversity batch,,0.0,phenotype_batch,8,50,True,True,500,0.25877609847020033,
30001,24,8,50,True,True,500,4.054825815918895,5.6600347169956375,0.25877609847020033,True,True,True,True,True,2,Highest-PEV batch,,0.19611647068717752,generation_finalized,9,0,True,True,500,0.09500018076780037,
