episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind
1,12345,1.0,8.34115865291728,112,0,20,0.0,8.373598975944916e-31,,100,linear_q
2,12346,0.9962,7.951534979437338,107,0,20,0.0,8.373598975944916e-31,,100,linear_q
3,12347,0.9924,9.727741676802733,125,0,20,0.0,0.0,,100,linear_q
4,12348,0.9886,6.603116272531913,111,0,20,0.0,0.0,,100,linear_q
5,12349,0.9848,7.949755191736474,103,0,20,0.0,3.3494395903779665e-30,,100,linear_q
6,12350,0.981,7.7036136367510695,123,0,20,0.0,0.0,,100,linear_q
7,12351,0.9772,9.78574810852479,108,0,20,0.0,3.3494395903779665e-30,,100,linear_q
8,12352,0.9734,8.162356158732146,120,0,20,0.0,3.3494395903779665e-30,,100,linear_q
9,12353,0.9696,9.625003027625851,100,0,20,0.0,0.0,,100,linear_q
10,12354,0.9658,7.854502846739923,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
11,12355,0.962,3.9696398875144627,102,0,20,0.0,1.8840597695876063e-30,,100,linear_q
12,12356,0.9582,6.146862577815414,104,0,20,0.0,0.0,,100,linear_q
13,12357,0.9544,9.423224649436397,108,0,20,0.0,8.373598975944916e-31,,100,linear_q
14,12358,0.9506,9.200347986596482,112,0,20,0.0,0.0,,100,linear_q
15,12359,0.9468,8.63562202099935,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
16,12360,0.9430000000000001,5.877645632782886,110,0,20,0.0,8.373598975944916e-31,,100,linear_q
17,12361,0.9392,8.713559649347957,110,0,20,0.0,3.3494395903779665e-30,,100,linear_q
18,12362,0.9354,5.380457712497878,114,0,20,0.0,0.0,,100,linear_q
19,12363,0.9316,8.587577985512812,105,0,20,0.0,8.373598975944916e-31,,100,linear_q
20,12364,0.9278,8.933356358373866,97,0,20,0.0,7.536239078350425e-30,,100,linear_q
21,12365,0.924,8.454845359580553,122,0,20,0.0,8.373598975944916e-31,,100,linear_q
22,12366,0.9202,6.86530117257648,102,0,20,0.0,1.8840597695876063e-30,,100,linear_q
23,12367,0.9164,5.234193476511613,121,0,20,0.0,1.8840597695876063e-30,,100,linear_q
